id,profileName,review,date,title,rating,Sentiment
R32KMTYLMOWCZQ,Vineet,After a couple of months of usage say like using 5-6 times a month it came apart from the wrist part.... Will suggest not to buy if buying for gym....,"Reviewed in India on August 7, 2024",Ripped apart but comfortable,1.0 out of 5 stars,Neutral
RY5SNBFQXXFIK,Arjumand Aazad,Good quality,"Reviewed in India on August 6, 2024",Good,4.0 out of 5 stars,Neutral
R2P2C9T5Y3WR5O,Mayur Madhusoodhanan,This brand used to be good but the new one i purchased ripped within a month of usage.,"Reviewed in India on August 2, 2024",Massive quality drop,2.0 out of 5 stars,Neutral
R3DAJGXL3FNZLH,aditya,"I was looking for gloves that provided both protection and comfort, and these exceeded my expectations. The adjustable wrist straps ensure a secure fit, and the padding effectively absorbs shock.","Reviewed in India on August 1, 2024",Perfect Fit and Protection!,5.0 out of 5 stars,Positive
R1CQ4AAKBETZOD,Shivani Jain,"The product quality is great, however, it is a size smaller than normal. If your measure comes to L order XL.As there is no return/ exchange policy with this product, it become difficult to continue using it while exercising.","Reviewed in India on August 1, 2024",One size smaller,4.0 out of 5 stars,Positive
R2JG2DTRCR9V7E,Vishnu,"Used it for resistance band training. One side of my hand , thumb part feels tighter compared to the other.","Reviewed in India on August 1, 2024",Useful,4.0 out of 5 stars,Neutral
R1WE0D1VXGBK9K,Amazon Customer,I had order L size as per the chart. After receiving tried and found tight and when spoke to customer for replacement they informed not possible even though it is tight or not in use.,"Reviewed in India on July 30, 2024",Fitting issue,1.0 out of 5 stars,Positive
RCIK1B68RB4K,Chirag modi,The gloves is very comfortable and nice padding. easy to put and remove and feel solid when wear. I loved it. Value for money,"Reviewed in India on July 29, 2024",comfortable and easy to lift weight,5.0 out of 5 stars,Positive
R3GJPQCF9LLE6U,Rhushikesh Puri,"Good Product, comfort, light weight.","Reviewed in India on July 28, 2024",Soft and good product,5.0 out of 5 stars,Positive
R3NXG9BH7Q8OO5,Ganesh Pisat,I ordered this item but it doesn't fit to my hands hence want to change with size up xl. But your team is not allowing to do any such transactions i dropped email also but still not received any reply. Very poor service I faced with Amazon.,"Reviewed in India on July 25, 2024",Too short not fit to both hands,1.0 out of 5 stars,Negative
R25Y3PNF0ARISQ,babup447,Product is ok but price is too high.,"Reviewed in India on July 24, 2024",Not a value for money product,3.0 out of 5 stars,Neutral
RM4TPHWF35J9Q,Harshit,It’s not a quality product …the edges on the wrist had come off so basically the stitching alongside is not strong.,"Reviewed in India on July 20, 2024",Not good quality,1.0 out of 5 stars,Neutral
R3CDN7IWVKFGLO,Bikki Kumar,Performance is very good,"Reviewed in India on July 20, 2024",Awesome 😎,5.0 out of 5 stars,Neutral
R1VW0M375Q8DEV,Amazon Customer,WOW,"Reviewed in India on July 18, 2024",WONDERFUL,5.0 out of 5 stars,Positive
R2RSPNZXUN1U1M,Amazon Customer,"Perfect for gym, fit and finish is good. Material quality is good. Overall ""value for money"" peoduct.","Reviewed in India on July 17, 2024",Lovely,5.0 out of 5 stars,Positive
RMLH0OW7HMO3Z,Anamika,FALSE,"Reviewed in India on July 17, 2024",Torn hand gloves,3.0 out of 5 stars,Neutral
R29QWQKDYUQ17D,Vamshi GVK,Writing this review after 3 months of usage.By far the best value for money product I’ve got on Amazon. Didn’t expect it to last this long and stay this good even after months of regular usage for such a good price.Best for beginners and first time gym goers without a doubt,"Reviewed in India on July 15, 2024",Most Value for money,5.0 out of 5 stars,Positive
RHJST2DILYTGW,Rajat jaiswal,"Good cushion and grip, value for money product.Got a defective piece but got it exchanged with a new one.","Reviewed in India on July 13, 2024",Good gym glove,5.0 out of 5 stars,Neutral
R17KXTDLUGB4FI,Seema,"The gloves i very comfortable, durable and nice padding. I loved it. Value for money","Reviewed in India on July 13, 2024",Comfy,5.0 out of 5 stars,Positive
R2TMOVESHH6700,Rohan Mehrotra,Great product quality and fits well,"Reviewed in India on July 13, 2024",Great fitting glove,5.0 out of 5 stars,Positive
RBRBO5FBFNRJX,Bhavin,"Started using it in gym and my palms and grip feels so much better, been using it since 2 years and it started tearing a bit on one hand but after 2 years of everyday use, so it's fair.","Reviewed in India on July 13, 2024",go for it,5.0 out of 5 stars,Positive
RNDSWNW2SQVNL,AK,"Comfortable gloves that are a good value for the price. One hand, however, has velcro much looser than the other. Wrist support is nice","Reviewed in India on July 11, 2024",Good value for money,5.0 out of 5 stars,Positive
R1WEKPVCCOC12O,Mahak Aggarwal,I do not recommend this product . Poor quality and uncomfortable.,"Reviewed in India on July 10, 2024",Very uncomfortable .,1.0 out of 5 stars,Negative
R1C5OATQ2L4RMA,Amazon Customer,Loved it !! Quality is too good!! Must buy!! Fully satisfied 😁,"Reviewed in India on July 10, 2024",Awesome!!!,5.0 out of 5 stars,Positive
R2LC0LM4014XAV,pavan Kumar,Size doesn’t fit my hands. There is no replacement option. After my first the gloves shrank.,"Reviewed in India on July 8, 2024",Not satisfied,2.0 out of 5 stars,Neutral
R1SR5T19S0VBD2,Aman,Quality is good and awesome. I am satisfied,"Reviewed in India on July 8, 2024",Superb Quality,5.0 out of 5 stars,Positive
R4AQ2NT6DK0U3,Raghav Mahajan,Extremely bad leather quality. One glove is completely unusable. It's cracking and has lost all integrity.,"Reviewed in India on July 5, 2024",Don't buy. Went bad within a month,1.0 out of 5 stars,Negative
R1DHCVCYUQ1T0X,SOurabh,Bad product,"Reviewed in India on July 2, 2024",Not worth it,1.0 out of 5 stars,Negative
R2FNB9A6VXVQJ4,jobit johnai,Its not good product......It damage,"Reviewed in India on July 1, 2024",Bad quality,1.0 out of 5 stars,Neutral
R5YL2K7SOOZRS,Gym gloves ,The colour was little different than the image shown.,"Reviewed in India on June 30, 2024",Good product 👍.,4.0 out of 5 stars,Neutral
R3TGQ7E4BKIR1U,Vinay,I’ve been using this gym gloves over a month. It’s been perfect since day 1. It’s sturdy and looks cool too.,"Reviewed in India on June 29, 2024",Heavy duty gloves for lifting heavy weights,5.0 out of 5 stars,Positive
R3KKZIVFWWQ93,Mohan,Not much comfortable while chin ups and lifting the dumbbells. Gripping issue.,"Reviewed in India on June 29, 2024",Good but bit costly,4.0 out of 5 stars,Neutral
R10J6KD44I998Q,Amazon Customer,The straps were stitched on to the glove very poorly. A little bit of tension and they tore right away.The quality of the gloves and straps separately are good but they were not stitched together properly.Try to get one size bigger. They fit tightly.,"Reviewed in India on June 29, 2024",Tore while trying to wear it. Size too small,1.0 out of 5 stars,Positive
R2KHXE2DOJWJFX,Dilshad Thobani,"Appearance, durability","Reviewed in India on June 29, 2024",Quality,5.0 out of 5 stars,Neutral
R3JE26AZTD55CO,Bhawna goyal,"Using since 2 years, superb quality, durable gloves.","Reviewed in India on June 28, 2024",Superb quality product,5.0 out of 5 stars,Positive
R33YYYJQ3MB29Q,Rani Rajput,So bad non return product paise gye faltu m or 1 hi aaya h,"Reviewed in India on June 28, 2024",Worst product,1.0 out of 5 stars,Negative
RTWTAJ991Z7LA,Sultana,"Grip, easy to use, comfortable, washable, quality good, regular usage decrease the life of the product","Reviewed in India on June 28, 2024",Good,4.0 out of 5 stars,Positive
R525YRMXDROPW,Priyadharshini,Good product,"Reviewed in India on June 28, 2024",Worth to buy,5.0 out of 5 stars,Neutral
R3SUWKXT1YG2PU,RAKESH,Good product,"Reviewed in India on June 27, 2024",Nice product,5.0 out of 5 stars,Neutral
RXUZS054I5PTD,Mohit,"One glove is big and other is small, very bad product","Reviewed in India on June 26, 2024","Bad product, fitment issue",1.0 out of 5 stars,Negative
